Timestamp: 2024-03-24 14:03:38, Arduino Data: {'Humidity': 21}
Timestamp: 2024-03-24 14:03:38, Arduino Data: {'Humidity': 21}
Timestamp: 2024-03-24 15:49:33, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.36, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:38, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.35, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:38, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.35, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:42, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:42, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:49, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:49:49, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 63}
Timestamp: 2024-03-24 15:49:54, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-24 15:49:54, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.34, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:37:29, Arduino Data: {'gas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-25 08:37:29, Arduino Data: {'gas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-25 08:37:33, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.75, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 255}
Timestamp: 2024-03-25 08:37:33, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.75, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 255}
Timestamp: 2024-03-25 08:37:38, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.71, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-25 08:37:38, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.71, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-25 08:37:42, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.61, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-25 08:37:42, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.61, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-25 08:37:48, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.6, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-25 08:37:48, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.6, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 19}
Timestamp: 2024-03-25 08:37:52, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.57, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-25 08:37:52, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.57, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-25 08:37:58, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.58, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:37:58, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.58, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:10, Arduino Data: {'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:10, Arduino Data: {'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:15, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.53, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:15, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.53, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:24, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:24, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:28, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.5, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:28, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.5, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:38:35, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.5, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 255}
Timestamp: 2024-03-25 08:38:35, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.5, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 255}
Timestamp: 2024-03-25 08:38:40, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.59, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-25 08:38:40, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.59, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 21}
Timestamp: 2024-03-25 08:47:59, Arduino Data: {'anePPM': 1.74, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:47:59, Arduino Data: {'anePPM': 1.74, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:48:04, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.62, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:48:04, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.62, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:48:09, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.56, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:48:09, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.56, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:48:14, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 191}
Timestamp: 2024-03-25 08:48:14, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.54, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 191}
Timestamp: 2024-03-25 08:49:44, Arduino Data: {'2ralgas PPM': 0.05, 'MethanePPM': 1.52, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:49:44, Arduino Data: {'2ralgas PPM': 0.05, 'MethanePPM': 1.52, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:49:49, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.53, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
Timestamp: 2024-03-25 08:49:49, Arduino Data: {'HydrogenPPM': 0.09, 'MethanePPM': 1.53, 'COPPM': 0.1, 'Naturalgas PPM': 0.05, 'Humidity': 20}
